[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001068s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_parse ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run ParseTemplate Behavior [ RunTime:0.008304s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008402s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_filter ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run ContentReplace Behavior [ RunTime:0.000365s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run TokenBuild Behavior [ RunTime:0.000591s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000262s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run ShowRuntime Behavior [ RunTime:0.000491s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001906s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_end ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000467s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.000531s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --START--
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Run CheckRoute Behavior [ RunTime:0.001057s ]
[ 2012-12-07T14:23:57+08:00 ] /index.php/admin/Index/topmenu | INFO: Tag[ route_check ] --END-- [ RunTime:0.001242s ]
