[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run TokenBuild Behavior [ RunTime:0.005596s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001496s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ShowRuntime Behavior [ RunTime:0.002110s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014049s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_end ] --START--
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ShowPageTrace Behavior [ RunTime:0.003772s ]
[ 2012-12-08T00:40:09+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_end ] --END-- [ RunTime:0.004054s ]
[ 2012-12-08T00:40:10+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01a99891dc.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:10+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01abf031fc.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:10+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01add90726.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:10+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01a99891dc.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:10+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01abf031fc.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:10+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01add90726.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:23+08:00 ] /ddsfilm/index.php/Index/Uploads/img/20121206/50c01a99891dc.jpg | ERR: (ThinkException) 非法操作Uploads
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ route_check ] --START--
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run CheckRoute Behavior [ RunTime:0.002747s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ route_check ] --END-- [ RunTime:0.003010s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ app_begin ] --START--
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001888s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run CheckLang Behavior [ RunTime:0.002488s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004770s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_team` [ RunTime:0.012811s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | SQL: SELECT * FROM `dds_team`  [ RunTime:0.000760s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | SQL: SHOW COLUMNS FROM `dds_procates` [ RunTime:0.013529s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | SQL: SELECT * FROM `dds_procates`  [ RunTime:0.000759s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_template ] --START--
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run LocationTemplate Behavior [ RunTime:0.002056s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_template ] --END-- [ RunTime:0.002367s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_parse ] --START--
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ParseTemplate Behavior [ RunTime:0.032964s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033216s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_filter ] --START--
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ContentReplace Behavior [ RunTime:0.002006s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run TokenBuild Behavior [ RunTime:0.001572s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001035s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Run ShowRuntime Behavior [ RunTime:0.001748s ]
[ 2012-12-08T00:40:38+08:00 ] /ddsfilm/index.php/Index/company | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006990s ]
